id	name	language	english name	srgb_R	srgb_G	srgb_B	cielab_L	cielab_a	cielab_b
21301	深栗色	Chinese	dark maroon	62	34	26	17	12	11
21401	深紫色	Chinese	dark mauve	57	33	58	17	16	-11
21601	深薄荷绿	Chinese	dark mint green	174	196	171	77	-12	10
21801	深海军蓝	Chinese	dark navy	24	29	47	11	4	-13
21901	深藏青色	Chinese	dark navy blue	31	30	46	12	5	-10
22001	深橄榄色	Chinese	dark olive	86	67	49	30	6	14
22101	深橄榄绿	Chinese	dark olive green	36	43	40	17	-4	1
22201	深橙色	Chinese	dark orange	158	52	23	38	43	41
22301	深柔和绿色	Chinese	dark pastel green	161	175	150	70	-9	11
22401	深桃色	Chinese	dark peach	231	174	171	76	21	10
22601	深粉色	Chinese	dark pink	214	155	174	70	25	-1
22801	深紫色	Chinese	dark purple	57	33	57	17	16	-11
22901	深红色	Chinese	dark red	114	20	29	24	40	21
23301	深鲑鱼色	Chinese	dark salmon	169	126	120	57	16	10
23401	深沙色	Chinese	dark sand	159	135	106	58	5	19
23501	深海绿色	Chinese	dark sea green	35	61	55	23	-12	0
23801	深天蓝	Chinese	dark sky blue	107	160	192	63	-9	-22
23901	暗灰蓝色	Chinese	dark slate blue	53	55	66	23	2	-7
24101	深灰褐色	Chinese	dark taupe	64	35	19	17	13	16
24201	深水鸭色	Chinese	dark teal	110	123	99	50	-9	11
24301	深绿松石色	Chinese	dark turquoise	95	143	150	56	-14	-9
24401	深紫色	Chinese	dark violet	57	33	58	17	16	-11
24501	深黄色	Chinese	dark yellow	177	128	58	57	12	44
24601	深黄绿色	Chinese	dark yellow green	98	86	33	37	-2	32
24801	深绿色	Chinese	darkgreen	40	78	67	30	-17	2
24901	深蓝色	Chinese	darkish blue	27	54	105	23	9	-33
25001	深绿色	Chinese	darkish green	28	63	51	24	-16	3
25101	深粉红	Chinese	darkish pink	226	149	172	70	32	0
25201	深紫色	Chinese	darkish purple	59	32	57	17	18	-11
25301	深红色	Chinese	darkish red	102	30	39	23	33	12
25401	深水蓝色	Chinese	deep aqua	102	142	156	57	-10	-12
25501	深蓝色	Chinese	deep blue	18	40	88	17	11	-32
25601	深褐色	Chinese	deep brown	57	40	19	18	5	17
25701	深绿色	Chinese	deep green	29	62	52	24	-15	3
25801	深薰衣草色	Chinese	deep lavender	184	164	191	70	12	-11
26001	深紫红色	Chinese	deep magenta	89	42	43	23	22	9
26101	深橙色	Chinese	deep orange	215	103	80	57	42	34
26201	深粉红色	Chinese	deep pink	226	149	172	70	32	0
26301	深紫色	Chinese	deep purple	57	33	58	17	16	-11
26401	深红色	Chinese	deep red	102	30	39	23	33	12
26501	深玫瑰色 	Chinese	deep rose	139	88	101	43	23	1
26601	深海蓝	Chinese	deep sea blue	28	42	61	17	0	-14
26801	深水鸭色	Chinese	deep teal	81	70	37	30	-1	22
26901	深绿松石色	Chinese	deep turquoise	104	164	157	63	-21	-3
27001	深紫罗兰色	Chinese	deep violet	54	34	57	17	14	-11
27101	牛仔布	Chinese	denim	50	72	102	30	1	-20
27201	牛仔蓝	Chinese	denim blue	60	69	102	30	6	-20
27301	沙漠色	Chinese	desert	176	147	120	63	6	19
27401	痢疾色	Chinese	diarrhea	155	158	95	63	-11	32
27501	土色	Chinese	dirt	170	128	81	57	11	32
27601	土棕色	Chinese	dirt brown	151	134	99	57	1	21
27701	灰蓝色	Chinese	dirty blue	92	103	125	43	1	-14
27801	土绿色	Chinese	dirty green	65	75	36	30	-11	22
27901	脏桔色	Chinese	dirty orange	220	129	98	63	32	32
28001	土粉红色	Chinese	dirty pink	215	180	190	77	14	0
28101	脏紫色	Chinese	dirty purple	99	81	102	37	12	-10
28301	宝蓝	Chinese	dodger blue	38	49	120	23	20	-42
28401	暗浅棕色	Chinese	drab	63	34	25	17	13	12
28501	浅棕绿色	Chinese	drab green	114	100	81	43	3	13
28601	干血色	Chinese	dried blood	66	54	41	24	3	10
28701	鸭蛋蓝	Chinese	duck egg blue	126	140	134	57	-6	1
28801	暗蓝色	Chinese	dull blue	29	41	65	17	3	-17
28901	暗棕色	Chinese	dull brown	85	66	53	30	6	11
29201	暗粉红	Chinese	dull pink	159	106	103	50	21	10
29301	暗紫色	Chinese	dull purple	85	63	86	30	14	-10
29401	暗红色	Chinese	dull red	84	19	29	18	31	11
29501	暗水鸭色	Chinese	dull teal	132	117	83	50	0	21
29701	尘土色	Chinese	dusk	79	70	54	30	1	11
29801	暗蓝	Chinese	dusk blue	10	29	55	11	3	-19
29901	暗蓝	Chinese	dusky blue	5	30	56	11	2	-20
30001	暗粉红色	Chinese	dusky pink	157	106	106	50	21	8
30101	暗紫	Chinese	dusky purple	54	35	52	17	12	-7
30201	暗玫瑰色	Chinese	dusky rose	194	139	135	63	20	11
30301	灰尘色	Chinese	dust	64	72	76	30	-2	-3
30401	尘土蓝	Chinese	dusty blue	58	89	120	37	-2	-21
30501	暗绿	Chinese	dusty green	103	106	46	43	-10	33
30601	暗薰衣草色	Chinese	dusty lavender	166	146	171	63	12	-10
30701	暗橙色 	Chinese	dusty orange	166	77	54	44	35	31
30801	暗粉红色	Chinese	dusty pink	157	106	106	50	21	8
30901	灰紫色	Chinese	dusty purple	115	95	118	43	13	-10
31001	暗红	Chinese	dusty red	82	19	26	17	30	12
31101	暗玫瑰色	Chinese	dusty rose	248	215	218	89	12	3
31201	水鸭扬起的尘土色	Chinese	dusty teal	108	102	85	43	0	10
31301	土色	Chinese	earth	188	145	97	63	10	32
31401	复活节绿色	Chinese	easter green	147	180	131	70	-21	22
31601	麻本色	Chinese	ecru	131	141	100	57	-11	21
31701	蛋壳色	Chinese	egg shell	238	198	168	83	10	20
31801	茄子色	Chinese	eggplant	106	100	109	43	5	-5
32001	蛋壳色	Chinese	eggshell	236	199	167	83	9	21
32101	蛋壳蓝	Chinese	eggshell blue	195	180	190	75	7	-3
32901	常绿	Chinese	evergreen	111	123	81	50	-12	22
33001	旧蓝色	Chinese	faded blue	71	88	102	37	-3	-10
33101	旧绿色	Chinese	faded green	97	106	82	43	-8	12
33201	褪色橙	Chinese	faded orange	202	111	80	57	33	33
33301	褪色的粉红色	Chinese	faded pink	229	200	208	83	11	0
33401	旧紫色	Chinese	faded purple	120	95	101	43	11	1
33501	旧红色	Chinese	faded red	86	18	18	18	31	19
33701	浅黄棕 色	Chinese	fawn	153	112	65	50	11	32
33801	蕨色	Chinese	fern	148	158	112	63	-12	23
33901	蕨绿色	Chinese	fern green	67	115	45	44	-30	33
34201	普通绿	Chinese	flat green	160	157	74	63	-10	43
34601	森林色	Chinese	forest	94	86	68	37	0	12
34701	森林绿	Chinese	forest green	41	78	74	30	-14	-2
34801	森林绿	Chinese	forrest green	38	78	74	30	-15	-2
35001	嫩绿	Chinese	fresh green	193	216	125	83	-22	42
35301	金色 	Chinese	gold	247	223	142	89	-2	42
35401	金色 	Chinese	golden	247	223	142	89	-3	42
35501	金黄色	Chinese	golden brown	227	186	30	77	1	75
35701	金黄色	Chinese	golden yellow	227	186	30	77	1	75
35801	黄花	Chinese	goldenrod	168	158	30	64	-10	62
35901	葡萄色	Chinese	grape	85	42	58	23	22	-1
36001	葡萄紫	Chinese	grape purple	84	44	57	24	20	0
36101	柚子色	Chinese	grapefruit	173	105	28	51	22	51
36401	草地绿	Chinese	grassy green	102	149	57	57	-32	43
36501	绿色	Chinese	green	103	171	49	63	-42	53
36701	绿蓝色	Chinese	green blue	79	147	152	57	-20	-9
36801	绿色褐色	Chinese	green brown	99	106	67	43	-10	21
36901	青灰色	Chinese	green grey	144	115	106	51	10	9
37301	绿	Chinese	greenish	150	203	127	77	-31	33
37401	绿米色	Chinese	greenish beige	232	200	186	83	9	11
37501	蓝绿色	Chinese	greenish blue	60	130	135	50	-20	-9
37601	绿褐色	Chinese	greenish brown	89	65	54	30	9	11
38301	呈绿色蓝色	Chinese	greeny blue	65	111	100	44	-19	1
38401	绿褐色	Chinese	greeny brown	89	66	53	30	8	11
38501	呈绿灰色	Chinese	greeny grey	115	122	82	50	-10	21
38701	灰色	Chinese	grey	178	170	167	70	2	3
38801	灰蓝色	Chinese	grey blue	91	103	126	43	1	-14
39101	灰色粉红色	Chinese	grey pink	208	132	156	63	33	-1
39201	灰紫色	Chinese	grey purple	114	95	119	43	12	-10
39301	灰水鸭色	Chinese	grey teal	156	135	61	57	-1	42
39401	灰蓝色	Chinese	greyblue	92	103	126	43	1	-14
39501	浅灰色	Chinese	greyish	173	172	168	70	0	2
39601	灰蓝色	Chinese	greyish blue	92	102	125	43	2	-14
40001	灰紫色	Chinese	greyish purple	115	95	118	43	13	-10
40101	灰水鸭色	Chinese	greyish teal	153	173	174	69	-7	-3
40301	青铜色	Chinese	gunmetal	0	146	197	53	-35	-42
40401	榛子色	Chinese	hazel	144	89	52	43	19	31
40501	紫色	Chinese	heather	212	177	228	77	22	-21
40801	医院绿色	Chinese	hospital green	191	214	186	83	-13	11
41501	冰蓝色	Chinese	ice blue	169	215	230	83	-11	-13
41701	印度红	Chinese	indian red	105	58	54	30	20	12
42201	象牙色	Chinese	ivory	236	247	255	97	-2	-7
42301	玉石色	Chinese	jade	159	167	165	68	-3	0
42401	翡翠绿	Chinese	jade green	68	93	71	37	-14	9
42501	丛林绿	Chinese	jungle green	51	75	59	30	-13	6
43001	卡其色	Chinese	khaki	246	134	85	68	38	45
43101	卡其绿	Chinese	khaki green	92	84	51	36	-2	20
43401	薰衣草色	Chinese	lavender	165	147	171	63	11	-10
43501	薰衣草蓝	Chinese	lavender blue	121	114	155	50	12	-21
43601	薰衣草粉红色	Chinese	lavender pink	165	123	156	57	22	-11
43801	叶子色	Chinese	leaf	52	79	36	30	-19	22
43901	叶子绿	Chinese	leaf green	156	181	91	70	-23	43
44101	皮革色	Chinese	leather	116	48	57	30	31	9
44201	柠檬	Chinese	lemon	229	231	164	90	-11	33
44501	柠檬黄	Chinese	lemon yellow	240	226	96	89	-11	64
44601	青苔色	Chinese	lichen	97	106	70	43	-10	19
44701	浅蓝绿色	Chinese	light aqua	177	214	210	83	-13	-2
44901	浅米色	Chinese	light beige	138	201	189	77	-23	0
45001	浅蓝色	Chinese	light blue	186	233	249	90	-12	-13
45101	浅蓝绿	Chinese	light blue green	160	195	192	76	-12	-2
45201	浅蓝灰色	Chinese	light blue grey	152	173	192	70	-3	-12
45501	浅棕色	Chinese	light brown	222	181	152	77	11	20
45601	浅红色	Chinese	light burgundy	248	191	185	82	20	11
45701	浅青色	Chinese	light cyan	226	250	252	97	-7	-4
45801	浅紫色	Chinese	light eggplant	194	162	195	70	18	-13
45901	浅森林绿	Chinese	light forest green	36	63	64	25	-10	-4
46001	浅金色	Chinese	light gold	205	162	133	70	11	21
46501	浅灰色	Chinese	light grey	211	209	207	84	0	1
46601	浅灰蓝色	Chinese	light grey blue	122	139	154	57	-3	-10
46701	浅灰绿色	Chinese	light grey green	198	174	94	72	-1	44
46901	浅卡其色	Chinese	light khaki	224	179	167	77	15	12
47001	浅薰衣草色	Chinese	light lavendar	153	129	149	57	13	-7
47101	浅薰衣草色	Chinese	light lavender	168	147	169	63	12	-9
47201	浅浅蓝	Chinese	light light blue	170	193	188	76	-9	0
47301	浅浅绿色	Chinese	light light green	179	193	166	76	-10	12
47401	浅紫丁香色	Chinese	light lilac	202	182	204	76	11	-9
47801	浅栗色	Chinese	light maroon	79	49	36	24	12	14
47901	浅紫色	Chinese	light mauve	209	179	211	76	16	-12
48001	浅薄荷色	Chinese	light mint	170	195	186	77	-10	1
48101	浅薄荷绿	Chinese	light mint green	184	212	201	83	-12	2
48201	浅苔绿色	Chinese	light moss green	170	174	129	70	-9	23
48301	浅芥末色	Chinese	light mustard	192	169	92	70	-2	43
48401	浅海军蓝	Chinese	light navy	107	119	140	50	1	-13
48501	浅深蓝色	Chinese	light navy blue	64	88	120	37	0	-21
48701	浅橄榄色	Chinese	light olive	227	179	156	77	14	18
49001	浅柔和绿色	Chinese	light pastel green	214	207	187	83	-1	11
49201	浅桃色	Chinese	light peach	251	215	207	89	11	9
49301	浅长春花色	Chinese	light periwinkle	163	151	134	63	1	11
49401	浅粉色	Chinese	light pink	250	191	202	83	23	3
49501	浅梅色	Chinese	light plum	172	97	119	50	33	1
49701	浅红色	Chinese	light red	217	129	119	63	32	20
49801	浅玫瑰色	Chinese	light rose	235	197	199	83	14	4
50101	浅鲑鱼色	Chinese	light salmon	231	174	169	76	20	11
50201	浅海绿色	Chinese	light sea green	152	196	210	77	-12	-12
50501	浅天蓝色	Chinese	light sky blue	152	193	209	76	-10	-12
50601	浅驼色	Chinese	light tan	250	163	147	75	30	22
50801	浅绿松石	Chinese	light turquoise	107	164	153	63	-21	0
51001	浅紫色	Chinese	light violet	226	198	229	83	16	-12
51101	浅黄色	Chinese	light yellow	226	208	166	84	0	23
51201	浅黄绿色	Chinese	light yellow green	205	213	167	84	-10	22
51301	浅黄绿色	Chinese	light yellowish green	205	213	167	84	-11	22
51401	浅蓝色	Chinese	lightblue	185	233	249	90	-12	-13
52201	紫丁香	Chinese	lilac	181	141	172	63	21	-11
52301	丁香紫	Chinese	liliac	153	128	155	57	14	-11
52701	唇膏色 	Chinese	lipstick	226	121	133	63	42	12
52901	奶黄色	Chinese	macaroni and cheese	174	151	93	63	1	33
53001	品红	Chinese	magenta	166	39	57	37	52	21
53101	桃花木色	Chinese	mahogany	76	48	43	23	12	9
53201	玉米色	Chinese	maize	255	247	185	97	-5	31
53301	芒果色	Chinese	mango	191	120	62	57	23	43
53601	海洋色	Chinese	marine	38	57	86	24	2	-20
53801	栗色	Chinese	maroon	63	33	25	17	13	12
53901	紫红色	Chinese	mauve	146	52	90	37	43	-1
54001	中蓝色	Chinese	medium blue	52	71	104	30	3	-21
54101	中棕色	Chinese	medium brown	79	48	38	23	13	12
54201	中绿色	Chinese	medium green	71	111	82	43	-21	12
54301	中灰色	Chinese	medium grey	246	245	245	97	0	0
54401	中粉红色	Chinese	medium pink	192	139	154	63	22	0
54501	中紫色	Chinese	medium purple	112	75	104	37	21	-11
54701	黑葡萄色	Chinese	merlot	137	112	117	50	10	1
54801	金属蓝	Chinese	metallic blue	51	69	121	30	10	-32
54901	中蓝色	Chinese	mid blue	51	71	105	30	2	-22
55001	中绿色	Chinese	mid green	72	111	83	43	-20	12
55101	午夜黑色	Chinese	midnight	35	43	46	17	-2	-4
55201	午夜蓝	Chinese	midnight blue	47	55	77	23	3	-14
55401	军绿色	Chinese	military green	72	72	51	30	-4	12
55501	牛奶巧克力色	Chinese	milk chocolate	113	79	51	37	11	22
55601	薄荷色	Chinese	mint	182	213	206	83	-12	0
55901	深棕色	Chinese	mocha	62	35	27	17	12	11
56101	苔绿色	Chinese	moss green	102	105	68	43	-8	21
56301	泥土色	Chinese	mud	207	161	139	70	14	18
56401	泥褐色	Chinese	mud brown	148	133	111	56	2	14
56601	泥棕色	Chinese	muddy brown	91	65	54	30	10	11
56701	泥泞的绿色	Chinese	muddy green	86	107	99	43	-9	2
57301	芥末褐色	Chinese	mustard brown	100	65	23	31	11	31
57501	芥末黄	Chinese	mustard yellow	216	185	108	76	1	43
57601	柔和的蓝色	Chinese	muted blue	205	225	242	89	-3	-11
57801	柔和的粉红色	Chinese	muted pink	237	198	207	83	15	1
57901	柔紫色	Chinese	muted purple	195	161	190	70	17	-10
58101	海军蓝	Chinese	navy	21	29	48	11	3	-14
58201	海军蓝	Chinese	navy blue	20	28	48	11	3	-14
58301	海军绿	Chinese	navy green	97	85	75	37	3	8
58801	霓虹灯红	Chinese	neon red	168	35	38	37	53	32
58901	霓虹黄	Chinese	neon yellow	215	212	103	83	-13	54
59101	夜蓝色 	Chinese	night blue	16	11	14	3	2	-1
59201	海洋色	Chinese	ocean	37	57	86	24	2	-20
59301	海洋蓝	Chinese	ocean blue	76	122	172	50	0	-32
59401	海洋绿	Chinese	ocean green	68	91	84	37	-10	1
59801	褪蓝色	Chinese	off blue	94	120	154	50	-1	-21
59901	褪绿色	Chinese	off green	103	124	97	50	-14	12
60001	旧白色	Chinese	off white	150	133	99	56	1	21
60201	老粉红色	Chinese	old pink	54	16	28	11	20	1
60301	老玫瑰	Chinese	old rose	136	34	26	31	42	31
60401	橄榄色	Chinese	olive	88	89	71	37	-4	10
60501	黄褐色	Chinese	olive brown	147	112	79	50	9	24
60601	浅橄榄棕色	Chinese	olive drab	162	132	100	57	7	22
60701	橄榄绿	Chinese	olive green	64	74	56	30	-8	9
60901	橙色	Chinese	orange	231	131	35	64	32	63
61201	橙红色	Chinese	orange red	214	103	81	57	42	33
61301	橙黄色	Chinese	orange yellow	235	179	89	77	11	53
61501	橙红	Chinese	orangered	157	52	38	37	43	32
61701	橙红色	Chinese	orangey red	214	103	81	57	42	33
61801	橙黄色	Chinese	orangey yellow	235	179	89	76	11	53
62101	橙红色	Chinese	orangish red	214	103	81	57	42	33
62301	淡色	Chinese	pale	220	236	187	91	-13	22
62401	淡蓝绿色	Chinese	pale aqua	130	160	151	64	-13	2
62501	淡蓝色	Chinese	pale blue	186	233	248	90	-11	-13
62601	淡棕色	Chinese	pale brown	235	198	186	83	11	11
62701	淡绿色	Chinese	pale cyan	208	238	197	91	-17	17
62801	淡金色	Chinese	pale gold	232	203	168	83	5	21
62901	淡绿色	Chinese	pale green	231	252	219	97	-13	14
63001	淡灰色	Chinese	pale grey	158	161	150	66	-3	6
63101	淡紫色	Chinese	pale lavender	222	200	234	83	14	-14
63201	淡浅绿色	Chinese	pale light green	200	212	167	83	-12	21
63301	淡丁香	Chinese	pale lilac	168	145	176	63	14	-13
63601	淡洋红色	Chinese	pale magenta	152	149	191	63	10	-21
63701	淡紫色	Chinese	pale mauve	222	200	234	83	14	-14
64001	淡橙色	Chinese	pale orange	224	181	152	77	12	21
64101	淡桃色	Chinese	pale peach	221	179	173	76	14	9
64201	淡粉色	Chinese	pale pink	220	181	182	77	14	5
64301	淡紫色	Chinese	pale purple	222	200	234	83	14	-14
64401	淡红色	Chinese	pale red	222	178	169	76	15	11
64501	淡玫瑰	Chinese	pale rose	153	83	107	44	32	-1
64601	淡鲑鱼色	Chinese	pale salmon	182	121	100	57	21	21
64701	淡天蓝	Chinese	pale sky blue	157	171	187	69	-2	-10
64901	淡绿蓝色	Chinese	pale turquoise	213	232	206	90	-11	11
65001	淡紫色	Chinese	pale violet	222	200	234	83	14	-14
65101	淡黄色	Chinese	pale yellow	253	247	205	97	-5	21
65301	柔蓝色	Chinese	pastel blue	156	171	198	70	1	-15
65401	柔绿色	Chinese	pastel green	197	210	188	83	-8	9
65501	柔橙色	Chinese	pastel orange	223	129	80	63	32	42
65601	柔和的粉红色	Chinese	pastel pink	237	198	207	83	15	1
65701	柔紫色	Chinese	pastel purple	255	239	255	97	10	-7
65801	粉红色 	Chinese	pastel red	247	192	210	83	22	-1
66201	豌豆汤	Chinese	pea soup	191	192	129	76	-10	32
66301	豌豆汤绿色	Chinese	pea soup green	134	118	63	50	-2	32
66401	桃色	Chinese	peach	136	64	70	37	31	11
66501	桃红	Chinese	peachy pink	170	69	87	44	43	11
66601	孔雀蓝	Chinese	peacock blue	25	61	73	24	-9	-11
67101	汽油色	Chinese	petrol	83	87	88	37	-1	-1
67201	猪粉红色	Chinese	pig pink	211	156	174	70	23	-1
67301	松树色	Chinese	pine	47	59	54	24	-6	2
67401	松绿色	Chinese	pine green	62	112	98	43	-20	2
67501	粉红色	Chinese	pink	247	192	210	83	22	-1
67801	粉红色	Chinese	pinkish	247	192	210	83	22	-1
67901	粉红褐色	Chinese	pinkish brown	232	174	185	77	23	3
68001	粉红灰色	Chinese	pinkish grey	236	197	204	83	15	2
68401	发粉的褐色	Chinese	pinkish tan	137	64	71	37	32	10
68501	淡粉色	Chinese	pinky	235	198	199	83	13	4
69001	梅子色	Chinese	plum	119	73	84	37	21	2
69101	梅紫色	Chinese	plum purple	67	28	54	17	22	-8
69301	大便色	Chinese	poo	156	133	99	57	3	22
69401	屎棕色	Chinese	poo brown	56	38	25	17	7	12
69801	粉蓝色	Chinese	powder blue	156	196	211	77	-10	-12
70001	普鲁士蓝	Chinese	prussian blue	40	56	87	24	4	-21
70101	深褐色	Chinese	puce	57	42	15	18	3	20
70301	呕吐棕色	Chinese	puke brown	206	163	114	70	10	31
70601	南瓜色	Chinese	pumpkin	124	48	22	31	31	32
